Languages;Langues
Login;Identification
Username;Adresse e-mail
Password;Mot de passe
Login to your account;Accéder à votre profil
Forget your Password;Un oubli de mot passe
Contact Us;Nous contacter
Forget your Password;Oubli de mot de passe
Home;Tableau de bord
Website;Site Internet
Please enter your email address;Veuillez saisir votre adresse e-mail
Please enter a VALID email address;Veuillez saisir une adresse e-mail valide
Please enter your password;Veuillez saisir votre mot de passe
Login Now;S'identifier
Please enter your email address and your password for your authentication;Veuillez saisir votre Code Déposant et votre mot de passe pour accéder à votre profil
You could not be authenticated with these credentials;Votre profil n'est pas reconnu pour ce Code Déposant et ce mot de passe
You could not be authenticated with these credentials. Please contact our customer service;Votre profil semble invalide, veuillez vérifier votre Code Déposant qui se trouve sur votre contrat dépôt.
My dashboard;Mon tableau de bord
My address book;Mon carnet d'adresse
My preferences;Mes préférences
New shipping;Nouvelle demande
City;Ville
E-mail;E-mail
Next;Suivant
Cancel;Annuler
Please select the language for this address;Veuillez sélectionner la langue pour cette adresse
No result found for your search;Aucun résultat trouvé pour votre recherche
Previous;Précédent
Address;Adresse
Content;Contenu
Logout;Déconnexion
Insurance needed;Souhaitez-vous une assurance
No;Non
Yes;Oui
Save;Enregistrer
Print;Imprimer
Shipping search;Recherche d'expédition
An error occured while saving your record;Une erreur est survenue lors de la sauvegarde de vos données
Your preferences have been saved;Vos préférences ont été sauvegardées
Validate your request;Valider votre demande
Validate;Validation
Update;Mettre à jour
Welcome to Occazetneuf;Bienvenue sur la plateforme OccazEtNeuf
An error occured while creating your request. Please try again later;Une erreur est survenue lors de la création de votre demande. Veuillez essayer ultérieurement
No data available for your query;Aucune donnée disponible pour cette demande
Close;Fermer
Time;Heure
Date;Date
An error was detected;Une erreur a été détectée
Saving your request. Please wait...;Enregistrement en cours. Veuillez patienter...
Notify;Notifier
Selected address;Adresse sélectionnée
Your comments, suggestions and questions are important to us;Vos commentaires, suggestions et vos questions nous sont très précieux
Please provide your contact information and your comments;Veuillez remplir le formulaire ci-après en indiquant vos coordonnées et vos commentaires
Your phone number;Votre n° de téléphone
Your e-mail;Votre adresse e-mail
Your name;Votre nom
Please type your message;Saisissez votre message
Provide the phone number where you can be contacted at;Insérez le numéro de téléphone où nous pourrons vous joindre
Provide the e-mail address where you can be contacted at;Veuillez fournir votre adresse e-mail
Provide your full name;Veuillez fournir votre nom complet
Sending message. Please wait...;Envoi de votre message en cours. Veuillez patienter...
Your message could not be sent. Please try again;
Your message has been sent. Thank you. You will be contacted at the earliest;
Delete;Supprimer
Send;Envoyer
Recent Reports;Comptes rendus récents
report;compte rendu
Please enter your email address in order to reset your password;Veuillez indiquer votre code déposant afin de réinitialiser votre mot de passe
Forgot Password;Mot de passe oublié ou 1ère connexion
Your email could not be found in our system. Please check your entry;Votre adresse e-mail n'a pu être trouvée dans notre système. Veuillez vérifier votre saisie
An e-mail has been sent to your e-mail address with a new password. Please use the new credentials received via email;Un e-mail a été envoyé avec un nouveau mot de passe. Veuillez utiliser le nouveau mot de passe reçu
