vente_article_id;contrat_num;article_type_code;reference_article_magasin;prix_vente_final;qte_vente;taux_commission;prix_net_deposant;magasin_code;vente_num;prix_vente_total;date_cloture_vente;date_reglement;reglement_deposant_id;prix_reglee;prix_deposant;prix_com;taux_assurance;contact_num;taux_tva;prix_a_reglee;reglee;libelle;STATUS
D33LAT-154489;1502583;DEPOT;11512448;35;1;0.5;0;D33LAT;0000002684;35;20151014;20151115;15102512171209;0;17.5;17.5;0;D33LAT-11100304;0.2;35;0;CONFITURIER 1P CHENE ;C
D33LAT-154491;1502439;DEPOT;11511611;161;1;0.481055;0;D33LAT;0000002686;161;20151014;20151115;1510251217953;0;83.55;77.45;0;D33LAT-10300175;0.2;161;0;PAIRE DE CHEVET 3T MARQUETERIE;C
D33LAT-154493;000415;DEPOT;000415-3;150;1;0.483333;0;D33LAT;0000002688;150;20151014;20151115;15102512171208;0;77.5;72.5;0;D33LATSA50708;0.2;150;0;Table ronde + 2 all;C
D33LAT-154494;1502549;DEPOT;11512189;3;1;0.4;0;D33LAT;0000002689;3;20151014;20151115;1510251217316;0;1.26;0.84;0;D33LAT-11300406;0.2;2.1;0;USTENSILE CUISINE GOURMET;C
D33LAT-154496;1501821;DEPOT;11508743;24;1;0.4;0;D33LAT;0000002691;24;20151014;20151115;1510251217952;0;14.4;9.6;0;D33LAT-19700084;0.2;24;0;ARMOIRE 2P BLANCHE AN 50 +CLÉ D16;C
D33LAT-154497;000428;DEPOT;000428-1;50;1;0.5;0;D33LAT;0000002692;50;20151014;20151115;15102512171212;0;25;25;0;D33LATSE50718;0.2;50;0;Meuble d angle 1 p;C
D33LAT-154498;1500824;DEPOT;11504110;19;1;0.5;0;D33LAT;0000002693;19;20151014;20151115;15102512171207;0;9.5;9.5;0;D33LAT-10800342;0.2;19;0;HOTTE ASPIRANTE INOX SCHOLTES +ACC;C
D33LAT-154499;1501588;DEPOT;11507592;30;1;0.01;0;D33LAT;0000002694;30;20151014;20151115;1510251217580;0;29.7;0.3;0;D33LAT-11300098;0.2;30;0;SJ06 TABLE BONZAI TECK  30/30/40;C
D33LAT-154500;1502604;DEPOT;11512531;70;1;0.5;0;D33LAT;0000002695;70;20151014;20151115;15102512171206;0;35;35;0;D33LAT-19801336;0.2;70;0;LAVE LINGE ZANUSSI 900T;C
D33LAT-154501;000401;DEPOT;000401-15;6;1;0.2;0;D33LAT;0000002696;6;20151014;20151115;1510251217521;0;4.8;1.2;0;D33LAT-19800369;0.2;6;0;Lot de 3 albums pour photos ;C
D33LAT-154502;1501244;DEPOT;11506021;1.25;1;0.5;0;D33LAT;0000002696;1.25;20151014;20151115;15102512171205;0;0.63;0.63;0;D33LAT-11500320;0.2;1.25;0;BANC DE POUPEE ;C
D33LAT-154504;1502039;DEPOT;11509826;55;1;0.5;0;D33LAT;0000002697;55;20151014;20151115;1510251217181;0;27.5;27.5;0;D33LAT-11500492;0.2;55;0;MEUBLE CHENE P/T/N ;C
D33LAT-154508;1500452;DEPOT;11502320;45;1;0.4;0;D33LAT;0000002701;45;20151014;20151115;15102512171080;0;27;18;0;D33LAT-11200973;0.2;45;0;ETAGERE PROFESSIONNEL METAL TGM;C
D33LAT-154509;000401;DEPOT;000401-33;10;1;0.2;0;D33LAT;0000002702;10;20151014;20151115;1510251217521;0;8;2;0;D33LAT-19800369;0.2;10;0;Ange;C
D33LAT-154510;1501200;DEPOT;11505815;30;1;0.5;0;D33LAT;0000002703;30;20151014;20151115;15102512171204;0;15;15;0;D33LAT-19800331;0.2;30;0;TABLE BASSE COUPLE RESINE D/VERRE;C
D33LAT-154511;1502331;DEPOT;11511135;4;2;0.4;0;D33LAT;0000002704;8;20151014;20151115;1510251217279;0;3;2;0;D33LAT-11300406;0.2;5;0;SUPPORT A ROULETTE POUR PLANTE;C
D33LAT-154514;1502323;DEPOT;11511089;5.6;1;0.5;0;D33LAT;0000002705;5.6;20151014;20151115;1510251217180;0;2.8;2.8;0;D33LAT-11500562;0.2;5.6;0;SELLETTE 2 NIV VERRE ;C
D33LAT-154515;000344;DEPOT;000344-6;19;1;0.4;0;D33LAT;0000002706;19;20151014;20151115;1510251217990;0;11.4;7.6;0;D33LAT-11300406;0.2;19;0;Meuble noir 6 cases;C
D33LAT-154516;1502945;DEPOT;11514175;63.75;1;0.5;0;D33LAT;0000002707;63.75;20151014;20151115;15102512171203;0;31.88;31.88;0;D33LAT-11400611;0.2;63.75;0;VITRINE COUL HETRE 2P2PV;C
D33LAT-154517;1502346;DEPOT;11511339;175;1;0.478571;0;D33LAT;0000002707;175;20151014;20151115;1510251217947;0;91.25;83.75;0;D33LAT-11500570;0.2;175;0;CANAPE SKAI GRIS EN L ETAT;C
D33LAT-154519;000401;DEPOT;000401-23;10;1;0.2;0;D33LAT;0000002708;10;20151014;20151115;1510251217521;0;8;2;0;D33LAT-19800369;0.2;10;0;Ouvre lettre ma;C
D33LAT-154520;000383;DEPOT;000383-1;20;1;0.5;0;D33LAT;0000002708;20;20151014;20151115;1510251217691;0;10;10;0;D33LAT120000110;0.2;20;0;Fer a repasser;C
D33LAT-154521;1500263;DEPOT;11501419;2;1;0.5;0;D33LAT;0000002709;2;20151014;20151115;15102512171202;0;1;1;0;D33LAT-11400448;0.2;2;0;CREDENCE BOIS À SUSP ;C
D33LAT-154522;1502706;DEPOT;11513063;31.5;1;0.5;0;D33LAT;0000002710;31.5;20151014;20151115;15102512171258;0;15.75;15.75;0;D33LAT-10001288;0.2;31.5;0;LOT DE PIERRES COLLECTION;C
D33LAT-154523;000201;DEPOT;000201-67;15;1;0.4;0;D33LAT;0000002710;15;20151014;20151115;1510251217819;0;9;6;0;D33LAT-19700084;0.2;15;0;Ramasse miettes decor chinois;C
D33LAT-154527;000358;DEPOT;000358-2;15;1;0.4;0;D33LAT;0000002713;15;20151014;20151115;151025121726;0;9;6;0;D33LAT-11300406;0.2;15;0;Tableau s/roulette;C
D33LAT-154528;000401;DEPOT;000401-27;2;1;0.2;0;D33LAT;0000002714;2;20151014;20151115;1510251217521;0;1.6;0.4;0;D33LAT-19800369;0.2;2;0;Bouddha pm ;C
D33LAT-154530;1502164;DEPOT;11510461;3.85;1;0.4;0;D33LAT;0000002714;3.85;20151014;20151115;1510251217434;0;2.31;1.54;0;D33LAT-11300406;0.2;3.85;0;VASE VERT/MARRON ;C
D33LAT-154533;1502942;DEPOT;11514166;8.5;1;0.5;0;D33LAT;0000002714;8.5;20151014;20151115;15102512171201;0;4.25;4.25;0;D33LAT-10100253;0.2;8.5;0;LOT DE CANARDS ETAIN ;C
